Event RA Dec t0 tE Ibl I0 Field Layer
OGLE-BLG501.01.143706 268.4735416666667 -29.556722222222223 2455825.742 3.012 18.50749 18.711104 EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 128
OGLE-BLG501.01.143874 268.4504166666667 -29.560111111111112 2456140.807 19.467 18.327253 18.558725 EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 126
OGLE-BLG501.01.153444 268.4510833333333 -29.59380555555556 2457203.538 6.51 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T230245.000000Z_01_01_01.00.fits.gz 139
OGLE-BLG501.01.156375 268.464625 -29.614833333333333 2456054.992 10.987 18.523952 19.563124 EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 140
OGLE-BLG501.01.164236 268.47366666666665 -29.65875 2456803.298 30.428 18.289166 18.527377 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 140
OGLE-BLG501.01.169355 268.46429166666667 -29.707666666666665 2455432.469 5.981 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 138
OGLE-BLG501.01.177902 268.460125 -29.728722222222224 2455429.607 18.899 17.77099 19.767497 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 138
OGLE-BLG501.01.196707 268.46370833333333 -29.820277777777772 2455438.243 23.021 19.113968 19.973723 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 92
OGLE-BLG501.01.23351 268.5709166666667 -29.756 2457073.45 3.383 18.486686 19.677319 EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 76
OGLE-BLG501.01.27665 268.574875 -29.804416666666665 2455411.833 6.259 17.649076 18.410372 EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 73
OGLE-BLG501.01.28090 268.5872083333333 -29.775722222222225 2455660.908 4.844 18.767929 22.575126 EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 73
OGLE-BLG501.01.32832 268.5935416666667 -29.817 2455947.807 67.3 17.054868 17.432857 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 88
OGLE-BLG501.01.35558 268.570125 -29.820166666666665 2456437.548 6.588 19.176966 19.352142 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 88
OGLE-BLG501.01.35832 268.58175 -29.82563888888889 2456534.863 20.791 19.881173 21.421635 EUC_LE1_VIS-67070-1-C_20250324T005828.000000Z_01_01_01.00.fits.gz 73
OGLE-BLG501.01.51656 268.53520833333334 -29.63088888888889 2456345.813 35.117 19.078504 20.253004 EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 135
OGLE-BLG501.01.82706 268.52625 -29.81458333333333 2457306.676 88.152 18.467598 18.984869 EUC_LE1_VIS-67070-1-C_20250324T012328.000000Z_01_01_01.00.fits.gz 87
OGLE-BLG501.01.90798 268.5020416666667 -29.56583333333333 2456912.656 16.513 19.04011 19.234594 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 125
OGLE-BLG501.02.101047 268.35841666666664 -29.809 2456953.219 9.284 18.864193 19.476413 EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 78
OGLE-BLG501.02.127000 268.306 -29.683444444444444 2457172.692 0.13 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T225425.000000Z_01_01_01.00.fits.gz 142
OGLE-BLG501.02.142040 268.3007083333333 -29.756194444444443 2455427.381 25.607 19.060966 19.236142 EUC_LE1_VIS-67070-1-C_20250324T010648.000000Z_01_01_01.00.fits.gz 84
OGLE-BLG501.02.151136 268.3254166666667 -29.80625 2456874.178 13.195 18.295629 18.450581 EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 81
OGLE-BLG501.02.174258 268.288875 -29.629444444444445 2456185.201 2.648 18.527272 19.25622 EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 130
OGLE-BLG501.02.196018 268.2782916666667 -29.743027777777776 2456074.146 25.157 18.584871 19.496161 EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 84
OGLE-BLG501.02.34505 268.4209583333333 -29.76625 2457290.087 31.947 18.98444 19.928905 EUC_LE1_VIS-67070-1-C_20250324T000508.000000Z_01_01_01.00.fits.gz 80
OGLE-BLG501.02.35769 268.3929166666667 -29.749472222222224 2455780.103 13.41 19.463776 19.87455 EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 79
OGLE-BLG501.02.50433 268.3714166666667 -29.552611111111112 2455465.401 38.524 17.596468 18.126047 EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 127
OGLE-BLG501.02.58930 268.35325 -29.58311111111111 2456047.29 19.784 20.031087 20.266597 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 129
OGLE-BLG501.02.6236 268.3881666666667 -29.570527777777777 2456736.609 15.555 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T223745.000000Z_01_01_01.00.fits.gz 127
OGLE-BLG501.02.77584 268.3546666666667 -29.720277777777778 2456018.236 29.115 NULL NULL EUC_LE1_VIS-67070-1-C_20250324T011508.000000Z_01_01_01.00.fits.gz 79
OGLE-BLG501.02.81395 268.34654166666667 -29.711805555555557 2456950.938 67.238 19.472981 19.744137 EUC_LE1_VIS-67070-1-C_20250323T224605.000000Z_01_01_01.00.fits.gz 141
OGLE-BLG501.03.102921 268.1315833333333 -29.574694444444443 2455436.716 53.857 19.252744 20.210243 EUC_LE1_VIS-67070-1-C_20250323T221105.000000Z_01_01_01.00.fits.gz 57
OGLE-BLG501.03.104435 268.139625 -29.592916666666667 2457177.0 18.704 19.233696 19.363887 EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 60
OGLE-BLG501.03.11039 268.22683333333333 -29.61658333333333 2456075.244 6.998 17.849459 17.972331 EUC_LE1_VIS-67070-1-C_20250323T205245.000000Z_01_01_01.00.fits.gz 59
OGLE-BLG501.03.15311 268.23341666666664 -29.610111111111117 2456175.832 1.627 NULL NULL EUC_LE1_VIS-67070-1-C_20250323T210105.000000Z_01_01_01.00.fits.gz 59
